tweet_id;created_at;full_text;favorite_count;retweet_count;reply_count;quote_count;lang;possibly_sensitive;hashtags;mentions;urls
2003858230431093068;Wed Dec 24 16:00:06 +0000 2025;Gold had a good year. Bitcoin had a good decade. Zoom out the chart. 🔭;278;50;203;3;en;False;;;
2003828007270486065;Wed Dec 24 14:00:00 +0000 2025;creating crypto natives, one paw at a time. https://t.co/F6T6CgzYRf;481;84;298;13;en;False;;;
2003767615261679628;Wed Dec 24 10:00:02 +0000 2025;The new #BinanceEarn Booster Program is here. Earn up to 20% APR on Flexible Products. Know more 👉 https://t.co/xfL3FGpzi4 https://t.co/MU6pL46quH;347;102;150;12;en;False;BinanceEarn;;https://www.binance.com/en/support/announcement/detail/8597cc2f40b6437c8687f52ab96bf77e
2003738019426165248;Wed Dec 24 08:02:26 +0000 2025;Where would you be enjoying Christmas this year? 🎄;726;105;593;20;en;False;;;
2003707363627250038;Wed Dec 24 06:00:37 +0000 2025;Ready to unwrap some crypto magic? Join #MerryBinance Academy Games 2025! Complete missions, level up your skills, and earn real BTC rewards 👇 https://t.co/OrkSRhs6uu https://t.co/MBE7CPJo3h;422;119;189;7;en;False;MerryBinance;;https://www.binance.com/en/events/binance-academy-games?utm_source=?utm_source=social
2003677188013347062;Wed Dec 24 04:00:42 +0000 2025;gͫ;546;70;391;13;qst;False;;;
2003646951435223403;Wed Dec 24 02:00:33 +0000 2025;The real crypto kingdom. https://t.co/NRIS2drc1q;868;159;349;24;en;False;;;
2003616788467040567;Wed Dec 24 00:00:42 +0000 2025;A practical guide to bonds Types, returns, and how they fit your strategy. Read more 👇 https://t.co/5T1ABjcOeR;336;69;151;5;en;False;;;https://www.binance.com/en/academy/articles/what-are-bonds-and-how-do-they-work
2003586595144728972;Tue Dec 23 22:00:43 +0000 2025;Yea, no 🙌 https://t.co/H4VKncQvkP;573;98;280;6;en;False;;;
2003556542377763102;Tue Dec 23 20:01:18 +0000 2025;2025 is 99% complete https://t.co/IeJ4BMN0Jn;2238;292;618;43;en;False;;;
2003526022579519504;Tue Dec 23 18:00:02 +0000 2025;Hint: 5 letters. Makes your SOL earn up to 5.6% APR! Comment your guess 👇 https://t.co/OYtM3sSmV5;520;128;357;8;en;False;;;
2003495927391170968;Tue Dec 23 16:00:26 +0000 2025;What would you name this cat? https://t.co/a8Mrglu3Up;4897;670;3035;159;en;False;;;
2003487900802122169;Tue Dec 23 15:28:33 +0000 2025;RT @BinanceWallet: Join the BNB Smart Chain Trading Competition now! 🔸 $600K in rewards up for grabs! 🔸 Trade CYS, ZKP and RAVE on Binance…;0;170;0;0;en;False;;BinanceWallet;
2003465898959548708;Tue Dec 23 14:01:07 +0000 2025;Take control of your crypto withdrawals with Recurring Send! Schedule automatic transfers to Binance accounts or any on-chain address—making asset management effortless and timely. Simplify your routine crypto movements today 👉 https://t.co/zsieH2UX5c https://t.co/HuAadqPHLz;456;130;195;9;en;False;;;https://www.binance.com/en/support/announcement/detail/b7a09ab510734796a5a35ea6e631a837
2003435711714775092;Tue Dec 23 12:01:10 +0000 2025;Madrid, Spain 🇪🇸 We shared an unforgettable afternoon in Madrid with 100 amazing people, enjoying great energy, special moments, and a truly Christmas-themed atmosphere. Thank you to everyone who joined us and made this experience so special 🎄✨ https://t.co/hnpxQ9D18F;483;94;207;8;en;False;;;
2003405226527608916;Tue Dec 23 10:00:02 +0000 2025;Running out of time for Christmas shopping? 🎄 Give a gift that lasts a lifetime, financial literacy! Help your child start a crypto savings account and set them up for success. Know more 👉 https://t.co/Aye9PVfN7p https://t.co/O0I3HDmJwT;442;115;180;8;en;False;;;https://www.binance.com/binance-junior
2003389917410582900;Tue Dec 23 08:59:12 +0000 2025;RT @BinanceWallet: Transfer Crypto in Chat - Earn Binance Alpha Task Points! 📅 Promotion Period: 2025-12-22 00:00 – 2026-01-04 23:59 (UTC)…;0;113;0;0;en;False;;BinanceWallet;
2003375492813013130;Tue Dec 23 08:01:53 +0000 2025;Spread the cheer with #MerryBinance! Invite your friends and unlock exclusive Christmas & New Year gift box rewards together! The more friends you bring, the bigger the surprises. Start inviting now 👉 https://t.co/9RPlVlPGOR https://t.co/8OLgNqDFbn;475;101;193;7;en;False;MerryBinance;;https://www.binance.com/en/referral/mystery-box/2025xmas-NY-celebrate?utm_source=social
2003345350849925448;Tue Dec 23 06:02:06 +0000 2025;The myth. The legend. Mr. Satoshi Nakamoto 🎩 Don’t know who he is? Watch this and all will be revealed with #BinanceABCs https://t.co/sLVzBi1RS0;1181;286;460;35;en;False;BinanceABCs;;
2003314697739600361;Tue Dec 23 04:00:18 +0000 2025;https://t.co/6B4J4dodwY;601;115;245;8;zxx;False;;;
