followers_count;friends_count;followers_friends_ratio;statuses_count;favourites_count;listed_count;media_count;account_age_days;tweets_per_day;has_custom_timelines;verified;protected;has_professional;description_length;tweet_length;has_hashtags;has_mentions;has_urls;has_media;is_retweet;is_reply;language;engagement_rate;reply_ratio;retweet_ratio;tweet_likes;tweet_retweets;tweet_replies;is_media_like;is_influencer_like;is_personal_like;is_bot_like;has_profile_banner;location_present;is_crypto_related;crypto_keywords_count;found_keywords;username;user_display_name;tweet_text;tweet_id
143325;499;287.22;12264;6566;300;2772;2453;5.0;1;1;0;1;99;204;1;1;1;1;0;0;in;0.0001;0.0001;0.0;11;0;1;0;1;0;0;1;0;1;3;bitcoin, link, trading;kaptencrypto707;Kapten Crypto 707;Bitcoin semakin naik mendekati resistance garis biru sesuai prediksi analis asing, tapi kata analis asing bisa ke $100,000 sih, kalau resistance garis biru itu saya gambar sendiri. https://t.co/JLjJW6GSf4;1994414150211326224
86760;56;1549.29;17995;9041;834;5509;4936;3.65;1;1;0;1;99;291;1;1;1;1;0;0;en;0.0004;0.0001;0.0002;35;3;1;1;1;0;0;1;0;1;4;bitcoin, xrp, price, chart;CryptoCrewU;Crypto Crew University;📊 #XRP Weekly Fib Update! Shoutout to our student for the sharp chart Price holding the 0.786 channel bottom Next key zone: 0.618 — aligns with FVG + 21/50 SMA. Upside levels: 1.0 → 1.272 → 1.618 Join to get the full report by email: 👇🏻 🔗 https://t.co/YWXEzR2QDy #XRP https://t.co/OLgseuzMbz;1994405935842840576
2061991;302;6827.78;26286;20288;7114;9978;3860;6.81;1;1;0;1;143;52;1;1;1;1;0;0;en;0.0002;0.0048;0.0019;425;49;126;1;1;0;0;1;1;1;2;bitcoin, market;AshCrypto;Ash Crypto;Bitcoin just broke $93,000 🚀 https://t.co/NEQBc6Yw9m;1994413580071174424
143325;499;287.22;12264;6566;300;2772;2453;5.0;1;1;0;1;99;294;1;1;1;1;0;0;in;0.0002;0.0001;0.0002;30;3;1;0;1;0;0;1;0;1;2;link, trading;kaptencrypto707;Kapten Crypto 707;Biasanya saya menyisihkan sebagian profit bot spot grid untuk giveaway telegram, tapi kali ini saya tidak giveaway dulu, profit tradingnya saya pakai untuk donasi bantuan bencana alam Sumatera di Kitabisa. Semoga saudara-saudara kita di Sumatera segera bangkit kembali 🙏 https://t.co/A9uMkjbneH;1994408401158430854
558068;722;772.95;122410;270246;5118;33681;3039;40.28;1;1;0;0;159;47;1;1;1;0;0;0;en;0.0001;0.0002;0.0;29;2;19;0;1;0;0;1;1;1;3;bitcoin, ethereum, trading;CryptoTony__;Crypto Tony;RANGE HIGH BREAKOUT ON BITCOIN AND ETHEREUM LFG;1994413480137420982
74892;6943;10.79;59536;184773;1034;15269;3079;19.34;1;1;0;0;114;125;1;1;1;1;0;0;en;0.0007;0.0004;0.0001;48;5;23;0;1;0;0;1;1;1;4;btc, solana, sol, bullish;CryptoCurb;curb.sol;BTC will go to $200k+ $SOL will go to $2,000+ SOL Alts/Memes will 20-50x+ YOU ARE NOT BULLISH ENOUGH! https://t.co/r1bwS6WweX;1994405920487395601
51237;346;148.08;8404;225;63;2462;1693;4.96;1;1;0;1;110;229;1;1;1;1;0;0;in;0.0001;0.0005;0.0;6;0;4;0;1;0;0;1;1;1;3;solana, airdrop, nft;duta_crypto;Duta Crypto;Saatnya buka Solana Game Pass kamu bang. - https://t.co/G2mkCMNIRh - hubungkan wallet Solana - Submit email dan buat username - Open pack Me, dapet nft card. Gk tau gunanya buat apa. 😂 Kamu dapat apa bang? https://t.co/QUWuWi7lW5;1994410422582358413
2061991;302;6827.78;26286;20288;7114;9978;3860;6.81;1;1;0;1;143;52;1;1;1;1;0;0;en;0.0007;0.0101;0.0057;1206;150;265;1;1;0;0;1;1;1;2;bitcoin, market;AshCrypto;Ash Crypto;Bitcoin just broke $92,000 🚀 https://t.co/UF0PCOqn3X;1994403971411345518
499925;35;10000.0;3010;1614;484;1782;1634;1.84;1;1;0;1;134;288;1;1;1;1;0;0;en;0.0001;0.0056;0.0083;36;25;17;1;1;0;0;1;0;1;2;btc, sol;Mrcryptoxwhale;Mr. Crypto Whale 🐋;As promised!! Just retweet and follow to win $SOL worth $18,000 🚀 Fuck, First 1500 interaction only. Here comes my next play !! I like the meme and i can see it at millions already ! Easy mooner ! $CLAIM the is here ca -BRGZCQDXSkMdcRDJFTL1NKmjXhqJVXyEMZY3BS1vpump https://t.co/KMlIOIPHWj;1994411497867382938
3628714;3;10000.0;17078;40021;18178;3044;1674;10.2;1;1;0;1;144;48;1;1;1;1;0;0;en;0.0011;0.0259;0.0229;3629;391;442;0;1;0;0;1;1;1;1;bitcoin;WatcherGuru;Watcher.Guru;JUST IN: $92,000 Bitcoin https://t.co/mobaRpi8cZ;1994403029588779330
217694;46;4732.48;2880;827;106;1992;931;3.09;0;1;0;0;141;289;1;1;1;1;0;0;en;0.0;0.0;0.0;0;0;0;1;1;0;0;1;0;1;4;btc, sol, airdrop, market;Crypto0637;Crypto Currency;🚀 THIS IS MY 100X CALL! 🚀 🔥 $CLAIM is LIVE NOW! 🔥 💎 Low-cap gem with 100x-200x upside! Don't miss this rocket before it takes off! 📈 Target: $50M market cap in no time! 🚀 💰 AIRDROP ALERT! Drop your wallets + RETWEET for a chance to win #CLAIM AIRDROP! 🤑 🔗 Contract: https://t.co/YgVqGCmaUY;1994417845069918446
9470;7;1352.86;8056;479;5;2905;423;19.04;0;1;0;0;160;24;1;1;1;0;0;0;en;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;1;1;bitcoin;cryptoplusplus1;crypto++;JUST IN: $92,000 Bitcoin;1994403128343740571
