tweet_id;created_at;full_text;favorite_count;retweet_count;reply_count;quote_count;lang;possibly_sensitive;hashtags;mentions;urls
2003848423905370575;Wed Dec 24 15:21:08 +0000 2025;KGST First nation backed stablecoin On @BNBCHAIN Many more to come. ps, that gold bar I had on stage with Peter, was real (to the best of my knowledge) from KG. Guess what’s coming next? 😂;692;65;442;17;en;False;;BNBCHAIN;
2003793650908815499;Wed Dec 24 11:43:29 +0000 2025;We can completely eradicate this type of poison address attacks. https://t.co/PJLd8WQV4y;1091;158;629;29;en;False;;;https://www.binance.com/en/square/post/34142027296314
2003356749198426436;Tue Dec 23 06:47:24 +0000 2025;RT @RachelConlan: KGST is not a pilot or a promise. It’s a live, local-currency stablecoin developed with the state and launched with Bina…;0;100;0;0;en;False;;RachelConlan;
2003272820856701412;Tue Dec 23 01:13:54 +0000 2025;Kalshi prediction market now supports #BNB deposits and withdrawals. Keep building.;4214;516;1466;71;en;False;BNB;;
2003052320788238675;Mon Dec 22 10:37:42 +0000 2025;RT @0x_outsider: KGST is one of the first successful cases of a nation-backed, local-currency stablecoin—built in collaboration with Kyrgyz…;0;64;0;0;en;False;;0x_outsider;
2003050970968936917;Mon Dec 22 10:32:21 +0000 2025;Liquidity for more stable coins on @BNBCHAIN;1984;298;857;35;en;False;;BNBCHAIN;
2002718813369077969;Sun Dec 21 12:32:28 +0000 2025;冬至快乐🥟🔘;3719;243;1753;61;zh;False;;;
2002036459117887841;Fri Dec 19 15:21:02 +0000 2025;RT @BNBCHAIN: Another use case unlocked for $BNB 🔓 Pay for your AWS bills with $BNB, powered by @bpn_network. https://t.co/leK0mSSBCg;0;295;0;0;en;False;;BNBCHAIN,bpn_network;
2001991403480678594;Fri Dec 19 12:22:00 +0000 2025;Was just comparing a feature on X vs Binance Square, nothing more. Don't over think it.;1599;193;971;24;en;False;;;
2001982434200740181;Fri Dec 19 11:46:22 +0000 2025;"AI has made ""selfie collecting"" obsolete. No need for selfie sessions in the future.🤷‍♂️ Some people use photos with VIPs as credentials, but I read it as a red flag. I ask: ""If I called this person about you, would they know you and say good things?"" More necessary now.😂";1959;240;698;23;en;False;;;
2001721575998095732;Thu Dec 18 18:29:48 +0000 2025;This is another problem with crypto payments. Short term, using a CEX avoids it (but the CEX will have that info). Long term, need a proper privacy solution.;6744;827;2678;423;en;False;;;
2001710293991543028;Thu Dec 18 17:44:58 +0000 2025;"RT @linwanwan823: 【CZ年终AMA十大问答】 BNB股东年终大会刚刚结束。 听完CZ的年终AMA，晚晚我选了10条问答总结👇 划重点：预测市场，稳定币大战2.0还没开始 1.被特赦后什么感受？ CZ：""心理上有一种vindication（平反）的感觉…";0;325;0;0;zh;False;;linwanwan823;
2001570071395848459;Thu Dec 18 08:27:47 +0000 2025;Talk to you in 3 hours at the AMA.;4304;309;1746;74;en;False;;;
2001269143333404885;Wed Dec 17 12:32:00 +0000 2025;Anyone claiming to be able to help you with a Binance listing is a scammer. If you see anyone (including middleman, consultants, ex- or current employees) claiming it, please report it. They will be added to a blacklist, and sometime even published. I recently had a country;4438;640;1804;106;en;False;;;
2001185583826395530;Wed Dec 17 06:59:58 +0000 2025;What questions do you have? Will start with a few questions from the comments 👇, then take some live questions. Please ask direct questions. No shilling of coins or projects. 🙏;2429;287;2305;56;en;False;;;
2001109316695416870;Wed Dec 17 01:56:54 +0000 2025;Will host an End-of-year AMA this Thursday, Dec 18, 4:30pm UTC+4. @BNBChain will moderate. See you there.;3814;456;1073;61;en;False;;BNBCHAIN;
2000909130421489836;Tue Dec 16 12:41:26 +0000 2025;😆;11680;683;1877;91;art;False;;;
2000845292665782368;Tue Dec 16 08:27:46 +0000 2025;那种久违的感觉：被套的牢牢的。😂;4072;365;2644;232;zh;False;;;
2000835198985101501;Tue Dec 16 07:47:39 +0000 2025;If you were ever jealous of people buying crypto on the cheap, and able to hold them through the cycles, think about what they did in moments like this.;25107;3871;4446;754;en;False;;;
2000832949688963252;Tue Dec 16 07:38:43 +0000 2025;Multiple prediction markets on @BNBCHAIN;2619;451;869;77;en;False;;BNBCHAIN;
